Area,Neighborhood,category,CrimeScore,MHIScore,PopScore,PovScore,MHSScore,TotalScore,VRate09,Vrate14,crimeChange,medinc09,medinc14,incChange,Pop09,Pop14,popChange,pov09,pov14,povChangePercPoint,MHS2011,MHS2015,MHSDiff,MHSDifPerc
WP,Wynnefield,Facing the Greatest Challenges,-2,-3,-3,-3,-1,-12,621.7725788,610.2522376,-0.018528223,40330.76852,29899.02,-0.258654841,18978,17206,-0.093371272,0.214,0.337,12.31,105384.24,97950,-7434.24,-0.070544134
UNP,Hunting Park,Facing the Greatest Challenges,-1,-4,0,-3,-3,-11,2048.978587,1844.725429,-0.099685355,28645.10638,20018.99316,-0.301137413,16252,16371,0.007322176,0.383,0.499,11.59,31590,22500,-9090,-0.287749288
WP,Mantua,Facing the Greatest Challenges,-2,-3,-3,-1,-2,-11,1645.678306,1588.44189,-0.034779832,21557.99285,17171.80206,-0.203460072,13976,12528,-0.103606182,0.448,0.493,4.49,47385,40000,-7385,-0.155851008
NE,Holmesburg,Facing the Greatest Challenges,-4,0,-4,0,-2,-10,714.8200482,829.8755187,0.160957252,47224.51723,43116.31952,-0.0869929,36093,28197,-0.218768182,0.167,0.203,3.69,123201,103000,-20201,-0.163967825
SW,Southwest Philadelphia,Facing the Greatest Challenges,-3,-2,-3,2,-2,-8,1604.077253,1641.488865,0.023322824,31902.3459,26834.64983,-0.158850264,37280,32105,-0.138814378,0.364,0.349,-1.54,41469.246,35000,-6469.246,-0.156001052
NE,Frankford,Facing the Greatest Challenges,-1,-1,-2,0,-3,-7,2145.98877,1861.247524,-0.132685338,32085.01344,28632.36691,-0.107609321,39003,36857,-0.055021409,0.321,0.331,1.03,60547.5,45000,-15547.5,-0.256781865
NE,Mayfair,Facing the Greatest Challenges,-1,-2,-2,-1,-1,-7,725.8784991,661.0504252,-0.089309814,53342.99782,44296.83438,-0.169584834,26864,24809,-0.076496426,0.117,0.166,4.91,126360,120000,-6360,-0.050332384
NP,Allegheny West,Falling Behind,-4,1,0,-2,-1,-6,1710.74911,1897.544354,0.109189152,23617.74289,23236,-0.016163394,17127,17022,-0.006130671,0.338,0.402,6.45,22628.97,21000,-1628.97,-0.071986043
UNP,Logan/Ogontz/Fern Rock,Falling Behind,-1,-1,1,-2,-3,-6,1497.654276,1330.267343,-0.111766071,30847.08712,27299.12686,-0.115017676,44336,46532,0.049530855,0.282,0.358,7.6,57915,45125,-12790,-0.220840888
NE,Somerton,Falling Behind,-2,-2,-1,0,-1,-6,218.1279944,207.6124567,-0.048208107,67318.65712,55216.86957,-0.179768701,25673,24565,-0.043158182,0.07,0.1,2.92,229659.3,221500,-8159.3,-0.035527845
NW,East Falls,Falling Behind,1,-4,-2,2,-2,-5,379.2547644,274.3623615,-0.276575043,70724.90064,49840.76433,-0.295286895,10547,9841,-0.066938466,0.156,0.151,-0.47,244822.5,213000,-31822.5,-0.129981926
WP,Overbrook,Falling Behind,-2,0,-1,0,-2,-5,801.7709149,768.3710534,-0.041657612,47123.23565,44356.37287,-0.058715467,37043,35790,-0.033825554,0.194,0.209,1.51,126360,108000,-18360,-0.145299145
NW,Germantown,Falling Behind,-2,-2,-2,-1,3,-4,1140.567201,1116.555168,-0.021052712,35584.29732,28667.66395,-0.19437319,22708,21226,-0.065263343,0.229,0.283,5.46,89241.75,121500,32258.25,0.361470388
SW,Kingsessing,Falling Behind,0,-2,-2,0,0,-4,1546.679423,1274.300874,-0.176105368,32298.66078,26170.20438,-0.189743359,25086,22993,-0.083432991,0.321,0.335,1.32,33116.85,35000,1883.15,0.056863802
